date,open,high,low,close,adjusted close,volume,symbol,company
12/30/2019,289.46,292.69,285.22,291.52,71.91690096,36059614,AAPL,Apple Inc
12/31/2019,289.93,293.68,289.52,293.65,72.44236405,25247625,AAPL,Apple Inc
1/2/2020,296.24,300.6,295.19,300.35,74.09522916,33911864,AAPL,Apple Inc
1/3/2020,297.15,300.58,296.5,297.43,73.37487601,36633878,AAPL,Apple Inc
1/6/2020,293.79,299.96,292.75,299.8,73.9595462,29644644,AAPL,Apple Inc
1/7/2020,299.84,300.9,297.48,298.39,73.61170444,27877655,AAPL,Apple Inc
1/8/2020,297.16,304.44,297.16,303.19,74.79584661,33090946,AAPL,Apple Inc
1/9/2020,307.24,310.43,306.2,309.63,76.38457068,42621542,AAPL,Apple Inc
1/10/2020,310.6,312.67,308.25,310.33,76.55725808,35217272,AAPL,Apple Inc
1/13/2020,311.64,317.07,311.15,316.96,78.19285445,30028742,AAPL,Apple Inc
1/14/2020,316.7,317.57,312.17,312.68,77.13699435,40653457,AAPL,Apple Inc
1/15/2020,311.85,315.5,309.55,311.34,76.80642133,30480882,AAPL,Apple Inc
1/16/2020,313.59,315.7,312.09,315.24,77.76853684,27207254,AAPL,Apple Inc
1/17/2020,316.27,318.74,315,318.73,78.62950687,34454117,AAPL,Apple Inc
1/21/2020,317.19,319.02,316,316.57,78.0966429,27235039,AAPL,Apple Inc
1/22/2020,318.58,319.99,317.31,317.7,78.3754097,25458115,AAPL,Apple Inc
1/23/2020,317.92,319.56,315.65,319.23,78.75285502,26117993,AAPL,Apple Inc
1/24/2020,320.25,323.33,317.52,318.31,78.52589443,36634380,AAPL,Apple Inc
1/27/2020,310.06,311.77,304.88,308.95,76.21681721,40485005,AAPL,Apple Inc
1/28/2020,312.6,318.4,312.19,317.69,78.37294274,40558486,AAPL,Apple Inc
1/29/2020,324.45,327.85,321.38,324.34,80.01347303,54149928,AAPL,Apple Inc
1/30/2020,320.54,324.09,318.75,323.87,79.89752578,31685808,AAPL,Apple Inc
1/31/2020,320.93,322.68,308.29,309.51,76.35496713,49897096,AAPL,Apple Inc
2/3/2020,304.3,313.49,302.22,308.66,76.14527529,43496401,AAPL,Apple Inc
2/4/2020,315.31,319.64,313.63,318.85,78.65911043,34154134,AAPL,Apple Inc
2/5/2020,323.52,324.76,318.95,321.45,79.30052077,29706718,AAPL,Apple Inc
2/6/2020,322.57,325.22,320.26,325.21,80.2280988,26356385,AAPL,Apple Inc
2/7/2020,322.37,323.4,318,320.03,79.14016818,29421012,AAPL,Apple Inc
2/10/2020,314.18,321.55,313.85,321.55,79.51604874,27337215,AAPL,Apple Inc
2/11/2020,323.6,323.9,318.71,319.61,79.03630645,23580780,AAPL,Apple Inc
2/12/2020,321.47,327.22,321.47,327.2,80.91323635,28432573,AAPL,Apple Inc
2/13/2020,324.19,326.22,323.35,324.87,80.33705102,23686892,AAPL,Apple Inc
2/14/2020,324.74,325.98,322.85,324.95,80.35683421,20028447,AAPL,Apple Inc
2/18/2020,315.36,319.75,314.61,319,78.88545965,38190545,AAPL,Apple Inc
2/19/2020,320,324.57,320,323.62,80.02793872,23495991,AAPL,Apple Inc
2/20/2020,322.63,324.65,318.21,320.3,79.20693644,25141489,AAPL,Apple Inc
2/21/2020,318.62,320.45,310.5,313.05,77.41408509,32426415,AAPL,Apple Inc
2/24/2020,297.26,304.18,289.23,298.18,73.73688513,55548828,AAPL,Apple Inc
2/25/2020,300.95,302.53,286.13,288.08,71.23925773,57668364,AAPL,Apple Inc
2/26/2020,286.53,297.88,286.5,292.65,72.36937231,49678431,AAPL,Apple Inc
2/27/2020,281.1,286,272.96,273.52,67.63871762,80151381,AAPL,Apple Inc
2/28/2020,257.26,278.41,256.37,273.36,67.59915125,106721230,AAPL,Apple Inc
3/2/2020,282.28,301.44,277.72,298.81,73.89267773,85349339,AAPL,Apple Inc
3/3/2020,303.67,304,285.8,289.32,71.54589713,79868852,AAPL,Apple Inc
3/4/2020,296.44,303.4,293.13,302.74,74.86452681,54794568,AAPL,Apple Inc
3/5/2020,295.52,299.55,291.41,292.92,72.43614056,46893219,AAPL,Apple Inc
3/6/2020,282,290.82,281.23,289.03,71.47418308,56544246,AAPL,Apple Inc
3/9/2020,263.75,278.09,263,266.17,65.82113729,71686208,AAPL,Apple Inc
3/10/2020,277.14,286.44,269.37,285.34,70.56168356,71322520,AAPL,Apple Inc
3/11/2020,277.39,281.22,271.86,275.43,68.11104122,64094970,AAPL,Apple Inc
3/12/2020,255.94,270,248,248.23,61.38475752,104618517,AAPL,Apple Inc
3/13/2020,264.89,279.92,252.95,277.97,68.73915742,92683032,AAPL,Apple Inc
3/16/2020,241.95,259.08,240,242.21,59.89607267,80605865,AAPL,Apple Inc
